ticket_id,short_description,description,priority,close_notes,known_solution,root_cause
"KB00025","User profile corruption","Several users reported corrupted profiles after OS upgrade.","P3","Restored profiles from backup and re-applied upgrade.","Restored user profiles from nightly backup.","Bug in OS upgrade process."
"KB00026","Server high CPU usage","Monitoring alerted on 90% CPU usage on web server.","P2","Optimized application code and added load balancer.","Implemented load balancer for web traffic.","Unoptimized application code."
"KB00027","Mobile app crash","Mobile app crashed on iOS after latest update.","P2","Released hotfix version 2.1.3 to address crash.","Patched mobile app to version 2.1.3.","Bug in mobile app update 2.1.2."
"KB00028","Backup storage full","Backup storage reached capacity, halting nightly backups.","P3","Expanded storage and archived old backups.","Added 1TB to backup storage.","Insufficient backup storage capacity."
"KB00029","Authentication server timeout","AD server timed out during peak login hours.","P2","Increased server capacity and optimized AD queries.","Added secondary AD server for load balancing.","High authentication request volume."
"KB00030","Data sync failure","CRM data failed to sync with marketing platform.","P3","Restarted sync service and fixed API key.","Updated API key in sync service config.","Expired API key."
"KB00031","Server certificate error","API server rejected requests due to invalid certificate.","P2","Installed new certificate and updated trust store.","Renewed server certificate valid until 2026.","Expired server certificate."
"KB00032","File corruption in shared drive","Users reported corrupted Excel files in shared drive.","P3","Restored files from backup and ran disk check.","Restored files and ran disk repair utility.","Disk errors on shared drive."
"KB00033","Application timeout during reports","Financial reporting tool timed out generating large reports.","P3","Increased timeout settings and optimized queries.","Optimized report queries and increased timeout to 60s.","Unoptimized report generation queries."
"KB00034","Wi-Fi connectivity issues","Users in office reported intermittent Wi-Fi disconnections.","P3","Updated access point firmware and adjusted channels.","Updated Wi-Fi firmware to version 3.2.","Interference on Wi-Fi channels."
"KB00035","Security patch failure","Security patch failed to apply on critical servers.","P1","Manually applied patch and verified integrity.","Manually installed patch KB123456.","Patch compatibility issue."
"KB00036","Database replication lag","Secondary database lagged behind primary by 10 minutes.","P2","Increased replication bandwidth and optimized sync.","Upgraded network link for database replication.","Insufficient replication bandwidth."
"KB00037","User interface bug","Dashboard displayed incorrect data after update.","P3","Released UI patch and cleared browser cache.","Patched UI to version 1.4.2.","Bug in UI update 1.4.1."
"KB00038","Printer queue stuck","Print jobs stuck in queue, delaying printing.","P4","Cleared print queue and restarted spooler.","Restarted print spooler service.","Corrupted print queue."
"KB00039","Server memory leak","Application server (APP-03) showed increasing memory usage.","P2","Applied memory patch and monitored usage.","Patched application to version 5.0.1.","Memory leak in application version 5.0.0."
"KB00040","Email delivery failure","Emails to external domains failed to deliver.","P3","Updated DNS records and MX settings.","Corrected MX records for email domain.","Incorrect MX record configuration."
"KB00041","License expiration warning","CAD software licenses nearing expiration, risking downtime.","P2","Renewed licenses and updated license server.","Renewed licenses for 12 months.","Failure to track license expiration."
"KB00042","Server time sync issue","Servers showed time drift, causing authentication issues.","P2","Synced servers with NTP and updated time settings.","Configured NTP server sync.","Misconfigured NTP settings."
"KB00043","Application error logs","ERP system generated excessive error logs, filling disk.","P3","Cleared logs and adjusted logging level.","Set logging to warning level only.","Verbose logging configuration."
"KB00044","Network latency","Users reported slow access to cloud applications.","P3","Optimized network routes and increased bandwidth.","Upgraded network link to 1Gbps.","Suboptimal network routing."
"KB00045","Database index corruption","Queries on customer database returned errors due to index issues.","P2","Rebuilt database indexes and validated data.","Rebuilt indexes on customer table.","Corrupted database index."
"KB00046","Login page slow","Login page took over 10 seconds to load for users.","P3","Optimized backend API and cached responses.","Enabled API response caching.","Unoptimized API endpoint."
"KB00047","Backup job timeout","Weekly full backup job timed out after 12 hours.","P3","Split backup job into smaller tasks.","Configured incremental backups daily.","Excessive backup job duration."
"KB00048","Server certificate mismatch","API calls failed due to certificate hostname mismatch.","P2","Updated certificate with correct hostname.","Issued new certificate with proper hostname.","Incorrect certificate hostname."
"KB00049","User profile sync failure","User profiles failed to sync with AD after update.","P3","Restarted sync service and updated connector.","Updated AD connector to version 2.3.","Bug in AD connector update."
"KB00050","Application crash on startup","Newly deployed app crashed on startup due to config error.","P1","Corrected configuration file and redeployed.","Fixed app config file syntax.","Syntax error in configuration file."
